x,y,
352,135,147.2
352,139,146.3
350,143,145.56
347,145,144.92
348,145,144.28
350,144,143.64
350,142,142.96
352,142,142.34
352,143,141.86
355,143,141.48
356,142,141.1
357,141,140.7
358,139,140.26
360,139,139.84
361,138,139.44
362,138,139.08
364,138,138.76
365,138,138.46
366,138,138.16
368,138,137.84
371,138,137.5
373,140,137.16
375,142,136.9
376,142,136.8
377,142,136.82
379,143,136.96
379,147,137.2
379,149,137.52
379,151,137.94
380,154,138.46
381,154,139.02
381,156,139.6
381,157,140.18
381,158,140.76
381,159,141.34
381,161,141.96
381,163,142.58
381,164,143.18
381,166,143.8
381,168,144.46
380,171,145.2
380,173,145.98
380,177,146.82
380,180,147.68
380,181,148.52
380,183,149.42
379,186,150.42
378,187,151.44
378,190,152.54
378,193,153.7
378,196,154.92
378,200,156.14
378,202,157.32
378,204,158.5
378,205,159.7
378,206,160.94
378,208,162.26
378,210,163.62
378,211,164.98
379,212,166.36
380,213,167.78
381,215,169.26
381,216,170.8
381,217,172.36
381,220,174
383,225,175.74
383,228,177.54
384,228,179.34
386,227,181.12
387,228,182.92
388,231,184.78
389,233,186.64
390,236,188.52
392,236,190.4
393,236,192.28
393,237,194.16
393,238,195.98
393,239,197.78
396,242,199.6
397,246,201.44
398,246,203.28
399,247,205.1
400,247,206.9
401,245,208.64
402,244,210.34
404,242,211.96
404,239,213.48
405,238,214.96
406,236,216.36
407,241,217.82
408,241,219.22
410,241,220.58
412,239,221.82
413,237,222.96
415,237,224.08
418,237,225.16
419,235,226.14
420,234,227.08
421,232,227.92
422,232,228.7
424,233,229.44
425,233,230.1
426,233,230.72
427,233,231.3
429,233,231.86
433,235,232.44
434,238,233.04
436,239,233.62
438,239,234.18
438,238,234.7
439,237,235.18
443,234,235.56
445,234,235.92
446,234,236.26
447,234,236.54
449,234,236.72
449,233,236.82
450,233,236.92
452,233,237.04
454,233,237.14
456,233,237.18
458,233,237.18
460,233,237.12
463,233,237.06
466,235,237.04
470,239,237.08
472,241,237.14
474,243,237.22
477,243,237.24
478,240,237.12
480,238,236.96
482,237,236.76
482,236,236.54
483,235,236.34
483,234,236.14
483,230,235.9
483,223,235.58
483,219,235.2
483,214,234.76
483,212,234.18
482,211,233.58
482,209,232.94
482,207,232.3
483,204,231.64
484,199,230.88
484,197,230.08
483,195,229.28
481,192,228.44
481,190,227.6
481,189,226.74
481,188,225.84
481,187,224.92
481,186,223.98
481,183,222.98
481,180,221.92
481,178,220.78
481,176,219.54
481,175,218.26
481,173,216.94
481,171,215.6
483,168,214.22
484,168,212.9
484,166,211.54
484,165,210.16
484,163,208.74
484,161,207.28
484,159,205.8
484,158,204.3
484,157,202.78
484,156,201.24
484,154,199.66
484,152,198.04
484,149,196.36
484,147,194.64
485,145,192.84
486,144,190.94
486,143,188.98
487,142,186.96
489,142,184.94
491,142,182.98
491,144,181.1
491,145,179.26
491,144,177.42
491,143,175.58
491,142,173.74
491,140,171.94
491,141,170.3
491,145,168.82
492,144,167.42
494,144,166.06
494,145,164.74
496,145,163.46
497,144,162.2
497,143,160.98
498,143,159.86
500,143,158.78
500,144,157.76
501,145,156.82
501,146,155.94
502,147,155.1
503,148,154.3
504,149,153.54
505,149,152.8
507,149,152.12
509,149,151.5
512,149,150.92
513,149,150.38
515,149,149.86
516,149,149.38
517,149,148.94
519,149,148.56
520,149,148.18
522,151,147.88
524,152,147.62
524,153,147.42
525,152,147.24
527,151,147.08
528,149,146.9
529,149,146.74
529,151,146.64
530,151,146.58
532,150,146.54
533,150,146.56
534,150,146.62
536,150,146.72
538,150,146.84
539,150,146.98
542,147,147.08
543,148,147.2
546,149,147.34
546,150,147.46
547,153,147.62
548,155,147.84
550,158,148.14
551,161,148.52
551,163,148.98
551,164,149.44
551,165,149.84
551,167,150.3
551,172,150.86
550,176,151.48
549,179,152.16
549,181,152.9
548,181,153.66
548,183,154.46
548,185,155.3
548,187,156.16
547,189,157.04
545,193,157.98
545,195,158.94
545,196,159.9
545,197,160.86
545,200,161.88
545,202,162.94
545,205,164.06
546,206,165.2
547,205,166.32
548,205,167.44
548,207,168.6
548,209,169.8
548,211,171.04
550,216,172.38
550,218,173.72
551,218,175.04
552,219,176.36
554,222,177.76
556,226,179.26
556,229,180.86
556,230,182.48
557,231,184.08
558,232,185.7
558,234,187.38
558,238,189.14
558,240,190.94
558,242,192.78
559,243,194.64
560,244,196.52
560,247,198.52
562,252,200.6
562,255,202.72
562,256,204.84
563,256,206.9
564,254,208.88
564,256,210.84
564,258,212.78
564,260,214.72
565,260,216.64
566,260,218.54
568,260,220.4
568,258,222.12
570,258,223.76
572,258,225.34
573,258,226.88
574,259,228.44
575,262,230.02
575,263,231.58
577,263,233.1
578,263,234.58
580,262,235.96
585,259,237.24
587,257,238.46
589,257,239.66
590,257,240.8
591,257,241.9
594,258,242.96
594,260,244.04
597,260,245.14
598,259,246.22
600,258,247.24
602,257,248.2
603,256,249.1
604,256,249.9
606,256,250.66
608,255,251.4
609,255,252.12
611,255,252.78
612,255,253.36
615,255,253.88
620,255,254.38
624,255,254.86
627,255,255.32
629,255,255.74
630,255,256.08
631,255,256.38
632,255,256.64
634,255,256.88
634,256,257.12
638,256,257.3
639,256,257.38
640,255,257.38
642,255,257.36
643,255,257.34
644,255,257.36
646,255,257.34
649,256,257.3
651,256,257.22
652,256,257.14
654,256,257.06
654,255,256.96
656,255,256.9
658,255,256.84
659,255,256.78
660,256,256.74
660,257,256.7
664,259,256.64
665,261,256.6
667,262,256.58
668,262,256.56
669,262,256.56
670,262,256.62
672,261,256.7
675,259,256.74
676,259,256.78
677,259,256.82
679,259,256.84
680,260,256.84
681,260,256.84
682,261,256.88
682,260,256.92
682,258,256.94
682,255,256.92
680,251,256.82
679,248,256.66
679,243,256.42
681,239,256.1
682,236,255.72
682,234,255.3
682,232,254.84
682,231,254.36
682,229,253.84
682,225,253.24
682,222,252.58
682,219,251.86
682,217,251.1
684,214,250.28
684,213,249.44
684,212,248.56
684,210,247.64
684,208,246.68
684,206,245.7
684,204,244.68
684,203,243.64
684,201,242.56
683,199,241.44
683,197,240.26
683,194,239.02
683,188,237.66
683,186,236.26
683,185,234.86
683,184,233.44
683,182,231.98
684,177,230.42
685,177,228.84
685,175,227.2
687,175,225.52
689,175,223.8
690,174,222.04
690,173,220.26
693,172,218.46
693,170,216.62
693,168,214.76
693,166,212.9
693,164,211
694,158,208.98
695,154,206.88
696,151,204.7
696,148,202.46
696,147,200.18
696,145,197.88
696,144,195.6
696,143,193.36
695,141,191.16
693,137,188.94
693,135,186.78
692,133,184.66
693,133,182.6
693,134,180.6
693,135,178.66
695,135,176.74
696,135,174.86
697,136,173.08
698,137,171.38
700,137,169.74
701,137,168.14
702,137,166.6
703,138,165.1
704,138,163.62
706,138,162.18
708,138,160.78
709,138,159.42
712,138,158.1
713,138,156.8
714,138,155.54
715,138,154.32
717,138,153.14
